id	name	fips	sector
193	California State University-Dominguez Hills	6	1
194	California State University-Fresno	6	1
195	California State University-Fullerton	6	1
196	California State University-East Bay	6	1
197	California State University-Long Beach	6	1
198	California State University-Los Angeles	6	1
199	California State University-Northridge	6	1
200	California State University-Sacramento	6	1
201	University of California-Berkeley	6	1
202	University of California-Davis	6	1
203	University of California-Irvine	6	1
204	University of California-Los Angeles	6	1
205	University of California-Riverside	6	1
206	University of California-San Diego	6	1
207	University of California-San Francisco	6	1
208	University of California-Santa Barbara	6	1
209	University of California-Santa Cruz	6	1
210	Sofia University	6	3
211	California Christian College	6	2
212	Le Cordon Bleu College of Culinary Arts-San Francisco	6	6
213	California Institute of the Arts	6	2
214	The California Maritime Academy	6	1
215	California Western School of Law	6	2
216	Canada College	6	4
217	College of the Canyons	6	4
218	Casa Loma College-Van Nuys	6	5
219	Cerritos College	6	4
220	Cerro Coso Community College	6	4
221	Chabot College	6	4
222	Chaffey College	6	4
223	Chapman University	6	2
224	Charles R Drew University of Medicine and Science	6	2
225	Concordia University-Irvine	6	2
226	San Diego Christian College	6	2
227	Church Divinity School of the Pacific	6	2
228	Citrus College	6	4
229	City College of San Francisco	6	4
230	Claremont Graduate University	6	2
231	Claremont McKenna College	6	2
232	Coastline Community College	6	4
233	Cogswell College	6	3
234	Coleman University	6	2
235	Western University of Health Sciences	6	2
236	Columbia College	6	4
237	Columbia College-Hollywood	6	2
238	El Camino College-Compton Center	6	4
239	Contra Costa College	6	4
240	Cosumnes River College	6	4
241	Crafton Hills College	6	4
242	Cuesta College	6	4
243	Cuyamaca College	6	4
244	Cypress College	6	4
245	De Anza College	6	4
246	Dell'Arte International School of Physical Theatre	6	2
247	College of the Desert	6	4
248	Design Institute of San Diego	6	3
249	Diablo Valley College	6	4
250	Dominican University of California	6	2
251	Dominican School of Philosophy & Theology	6	2
252	East Los Angeles College	6	4
253	El Camino Community College District	6	4
254	Emperor's College of Traditional Oriental Medicine	6	3
255	Empire College	6	3
256	Evergreen Valley College	6	4
257	Fashion Institute of Design & Merchandising-Los Angeles	6	3
258	Fashion Institute of Design & Merchandising-San Francisco	6	3
259	Fashion Institute of Design & Merchandising-Orange County	6	6
260	Feather River Community College District	6	4
261	Fielding Graduate University	6	2
262	Five Branches University	6	3
263	Foothill College	6	4
264	Franciscan School of Theology	6	2
265	Fresno City College	6	4
266	Fresno Pacific University	6	2
267	Fuller Theological Seminary in California	6	2
268	Fullerton College	6	4
269	Gavilan College	6	4
